english,chinese
Account information services,账户信息服务
Batch transaction details,批量交易明细
Subscriptions,订阅
Sandbox,沙盒
Payment initiation,支付发起
Check status,检查状态
Check availability of funds,检查资金可用性
Consent Information,同意信息
Cashback campaign,返现活动
Cashback,返现
Cashback notification,返现通知
Payment request,支付请求
Payment request notification,支付请求通知
Payment,支付
Refund,退款
Sandbox app,沙盒应用
Transaction bundle,交易捆绑
Transactions notification,交易通知
Account information services,账户信息服务
Check availability of funds,检查资金可用性
Consent Information,同意信息
Account Access Consents,账户访问同意
Accounts,账户
Balances,余额
Transactions,交易
Beneficiaries,受益人
Direct Debits,直接扣款
Standing Orders,定期订单
Offers,优惠
Parties,参与方
Future Dated Payments,预定日期支付
Statements,对账单
Supplementary Account Info,补充账户信息
Account Access,账户访问
Accounts,账户
Balances,余额
Beneficiaries,受益人
Direct Debits,直接扣款
Offers,优惠
Partys,参与方
Products,产品
Scheduled Payments,预定支付
Standing Orders,定期订单
Statements,对账单
Transactions,交易
Funds Confirmations,资金确认
Event Notification,事件通知
Domestic Payments,国内支付
Domestic Scheduled Payments,国内预定支付
Domestic Standing Orders,国内定期订单
File Payments,文件支付
International Payments,国际支付
International Scheduled Payments,国际预定支付
International Standing Orders,国际定期订单
Consentimiento de información sobre cuentas de pago (AIS),支付账户信息授权
Obtener estado de consentimiento,获取授权状态
Recuperar información de consentimiento,检索授权信息
Eliminar consentimiento,取消授权
Consentimiento de confirmación de fondos (FCS),资金确认授权
Lectura de listado de cuentas,读取账户列表
Lectura de detalles de cuenta,读取账户详细信息
Lectura de transacciones,读取交易明细
Lectura de balances,读取账户余额
Obtener listado de beneficiarios de confianza,获取受信任的受益人列表
Consulta de fondos,查询资金
Servicios multibanco,多银行服务
Inicio de pago,发起付款
Obtener estado del pago,获取付款状态
Recuperar información del Inicio de pago,检索付款发起信息
Cancelar Inicio de pago,取消付款发起
Obtener sub-recursos de la autorización,获取授权子资源
Inicio del proceso de autorización (explícita),开始明确授权流程
Obtener estado SCA,获取SCA状态
Actualizar datos del PSU (seleccionar método SCA),更新PSU数据（选择SCA方法）
Account Information,账户信息
Account Transactions,账户交易
AccountValidation,账户验证
CR - ACHFulfillmentOperatingSession,ACH履约运营会话
BQ - InboundACH,入账ACH
BQ - OutboundACH,出账ACH
BQ - Warehousing,仓储
BQ - ClearingandSettlement,清算和结算
BQ - Reconciliation,调节
CR - ATMNetworkOperatingSession,ATM网络运营会话
BQ - NetworkOperation,网络运营
BQ - CashDistribution,现金分配
BQ - DeviceTracking,设备跟踪
BQ - FinancialDocumentHandling,财务文件处理
BQ - FinancialTransactionCapture,财务交易捕捉
CR - AccountReconciliationProcedure,账户调节程序
BQ - AccountAssessmentWorkstep,账户评估工作步骤
BQ - AccountResolutionWorkstep,账户解决工作步骤
CR - AccountRecoveryProcedure,账户恢复程序
BQ - Assessment,评估
BQ - Writedown,减记
BQ - Planning,规划
BQ - Negotiation,协商
BQ - Restructuring,重组
CR - AccountsReceivableProcedure,应收账款程序
BQ - CustomerNegotiation,客户协商
BQ - ReceivablesEvaluation,应收账款评估
BQ - Payment,支付
BQ - Resolution,解决
CR - VoiceChannelManagementPlan,语音通道管理计划
BQ - CapacityPlanning,容量规划
BQ - MaintenanceAndUpgrades,维护和升级
BQ - Troubleshooting,故障排除
CR - VoiceChannelOperatingSession,语音通道运营会话
BQ - Inbound,入境
BQ - Outbound,出境
CR - AdvertisingCampaignManagementPlan,广告活动管理计划
BQ - MarketTracking,市场跟踪
BQ - PerformanceAssessment,绩效评估
BQ - CampaignDirection,活动方向
CR - ArchiveOperatingSession,存档运营会话
BQ - DocumentCaptureFunction,文档捕捉功能
BQ - DocumentMaintenanceFunction,文档维护功能
BQ - DocumentRetrievalFunction,文档检索功能
CR - AssetAndLiabilityPortfolioStrategy,资产和负债组合策略
BQ - TransactionAlignment,交易对齐
CR - AssetSecuritizationTransaction,资产证券化交易
BQ - Placement,发行
BQ - Securitization,证券化
BQ - Selection,选择
CR - BearerDocumentTransaction,不记名文件交易
BQ - BankGuaranteedPaymentRemittanceTask,银行担保付款汇款任务
BQ - BankGuaranteedPaymentSpecificationTask,银行担保付款说明任务
